xeid,date,time,score,h1,h2,win,tie,los,result,usable,team1,team2,h11,h12,h21,h22,t1,t2
8pCMVNR1,2022-11-22,13:00,0:0,0:0,0:0,1.58,3.92,6.57,1.0,True,Denmark,Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
p42XiEr4,2022-11-22,10:00,1:2,1:0,0:2,1.12,9.21,25.52,2.0,True,Argentina,Saudi Arabia,1.0,0.0,0.0,2.0,1.0,2.0
GUm04257,2022-11-22,19:00,1:1,1:0,0:1,2.47,3.09,3.22,1.0,True,USA,Wales,1.0,0.0,0.0,1.0,1.0,1.0
4pe0g62B,2022-11-22,16:00,0:2,0:0,0:2,6.1,3.67,1.66,2.0,True,Senegal,Netherlands,0.0,0.0,0.0,2.0,0.0,2.0
0G0LfGbo,2022-11-21,13:00,6:2,3:0,3:2,1.38,4.65,10.2,0.0,True,England,Iran,3.0,0.0,3.0,2.0,6.0,2.0
jsidfnm5,2022-11-21,16:00,0:2,0:2,0:0,3.71,3.14,2.24,2.0,True,Qatar,Ecuador,0.0,2.0,0.0,0.0,0.0,2.0
KM8vMQMm,2022-06-15,18:00,1:0,1:0,0:0,2.12,2.73,4.58,0.0,True,Costa Rica,New Zealand ,1.0,0.0,0.0,0.0,1.0,0.0
SY0cFZ4t,2022-06-14,18:00,1:0 pen.,0:0,0:0,4.58,3.09,1.95,1.0,True,Australia,Peru ,0.0,0.0,0.0,0.0,0.0,0.0
djl8DuNn,2022-06-08,18:00,1:2,0:0,1:2,5.34,3.39,1.75,2.0,True,United Arab Emirates,Australia ,0.0,0.0,1.0,2.0,1.0,2.0
fTlfHD91,2022-06-06,16:00,1:0,1:0,0:0,2.62,3.04,2.99,0.0,True,Wales,Ukraine,1.0,0.0,0.0,0.0,1.0,0.0
AkdcDYKb,2022-06-02,18:45,1:3,0:1,1:2,2.45,3.02,3.22,2.0,True,Scotland,Ukraine,0.0,1.0,1.0,2.0,1.0,3.0
6gP08abG,2022-03-31,01:05,2:0,0:0,2:0,4.45,3.39,1.87,0.0,True,Costa Rica,USA,0.0,0.0,2.0,0.0,2.0,0.0
pvyhALT3,2022-03-31,01:05,2:1,2:1,0:0,2.0,3.26,4.0,0.0,True,Jamaica,Honduras,2.0,1.0,0.0,0.0,2.0,1.0
OUZe9uqA,2022-03-31,01:05,2:0,2:0,0:0,1.14,7.81,21.58,0.0,True,Mexico,El Salvador,2.0,0.0,0.0,0.0,2.0,0.0
j3MlB1Ec,2022-03-31,01:05,1:0,0:0,1:0,4.08,3.42,1.94,0.0,True,Panama,Canada,0.0,0.0,1.0,0.0,1.0,0.0
EPBNCEnO,2022-03-31,17:00,0:5,0:2,0:3,15.25,6.69,1.16,2.0,True,Solomon Islands,New Zealand,0.0,2.0,0.0,3.0,0.0,5.0
b5HMJSs4,2022-03-30,23:30,0:4,0:2,0:2,6.17,4.16,1.53,2.0,True,Bolivia,Brazil,0.0,2.0,0.0,2.0,0.0,4.0
tU6RIncA,2022-03-30,23:30,0:2,0:0,0:2,2.27,3.19,3.33,2.0,True,Chile,Uruguay,0.0,0.0,0.0,2.0,0.0,2.0
KK5VH6CG,2022-03-30,23:30,1:1,0:1,1:0,3.48,3.14,2.24,1.0,True,Ecuador,Argentina,0.0,1.0,1.0,0.0,1.0,1.0
h8EELlDi,2022-03-30,23:30,2:0,2:0,0:0,1.54,3.91,6.74,0.0,True,Peru,Paraguay,2.0,0.0,0.0,0.0,2.0,0.0
nVDIK8Sc,2022-03-30,23:30,0:1,0:1,0:0,5.34,3.73,1.67,2.0,True,Venezuela,Colombia,0.0,1.0,0.0,0.0,0.0,1.0
zuKd2yw1,2022-03-30,19:30,1:2 ET,0:1,0:0,1.98,3.0,4.43,2.0,True,Algeria,Cameroon ,0.0,1.0,0.0,0.0,0.0,1.0
SEGl4c8l,2022-03-30,19:30,4:1,2:0,2:1,1.45,3.98,8.31,0.0,True,Morocco,D.R. Congo ,2.0,0.0,2.0,1.0,4.0,1.0
df850F7D,2022-03-30,19:30,0:0,0:0,0:0,2.48,2.72,3.41,1.0,True,Tunisia,Mali ,0.0,0.0,0.0,0.0,0.0,0.0
hMmMJtpn,2022-03-30,18:45,2:0,0:0,2:0,2.3,3.02,3.6,0.0,True,Poland,Sweden,0.0,0.0,2.0,0.0,2.0,0.0
fwQDNqnD,2022-03-30,18:45,2:0,1:0,1:0,1.17,7.71,17.56,0.0,True,Portugal,North Macedonia,1.0,0.0,1.0,0.0,2.0,0.0
88E6h9G7,2022-03-30,18:00,1:0,0:0,1:0,2.33,3.13,3.22,0.0,True,Saudi Arabia,Australia,0.0,0.0,1.0,0.0,1.0,0.0
MZOG7WEt,2022-03-30,17:00,1:1,1:1,0:0,1.85,2.94,5.55,1.0,True,Nigeria,Ghana ,1.0,1.0,0.0,0.0,1.0,1.0
pfDP9JpR,2022-03-30,17:00,2:0 pen.,1:0,0:0,1.95,2.87,4.97,0.0,True,Senegal,Egypt ,1.0,0.0,0.0,0.0,1.0,0.0
ADhkHhg8,2022-03-30,16:00,2:0,1:0,1:0,1.88,3.26,4.52,0.0,True,Oman,China,1.0,0.0,1.0,0.0,2.0,0.0
CKmlhoKu,2022-03-29,13:45,1:1,1:1,0:0,4.57,3.02,1.97,1.0,True,Syria,Iraq,1.0,1.0,0.0,0.0,1.0,1.0
zaCrX1lU,2022-03-29,13:45,1:0,0:0,1:0,6.42,3.92,1.55,0.0,True,United Arab Emirates,South Korea,0.0,0.0,1.0,0.0,1.0,0.0
OO8vYsZN,2022-03-29,11:30,2:0,1:0,1:0,1.21,5.9,16.34,0.0,True,Iran,Lebanon,1.0,0.0,1.0,0.0,2.0,0.0
f5A2gk11,2022-03-29,10:35,1:1,0:1,1:0,1.11,8.74,24.66,1.0,True,Japan,Vietnam,0.0,1.0,1.0,0.0,1.0,1.0
d4ublv7p,2022-03-28,23:05,0:1,0:0,0:1,14.86,5.73,1.23,2.0,True,Honduras,Mexico ,0.0,0.0,0.0,1.0,0.0,1.0
CCNpCsai,2022-03-28,23:00,5:1,4:0,1:1,1.45,4.29,7.36,0.0,True,USA,Panama,4.0,0.0,1.0,1.0,5.0,1.0
A7q2mbMj,2022-03-28,21:05,1:2,1:2,0:0,4.19,3.07,2.03,2.0,True,El Salvador,Costa Rica,1.0,2.0,0.0,0.0,1.0,2.0
vPhWhKbT,2022-03-28,20:05,4:0,2:0,2:0,1.18,6.73,16.85,0.0,True,Canada,Jamaica,2.0,0.0,2.0,0.0,4.0,0.0
hthHjcYk,2022-03-28,17:30,1:0,0:0,1:0,1.07,10.77,20.98,0.0,True,New Zealand,Tahiti,0.0,0.0,1.0,0.0,1.0,0.0
WWjLkHmd,2022-03-27,14:00,3:2,1:1,2:1,2.16,3.52,3.04,0.0,True,Solomon Islands,Papua New Guinea,1.0,1.0,2.0,1.0,3.0,2.0
EHFAMUco,2022-03-26,23:30,3:0,1:0,2:0,1.18,7.11,15.78,0.0,True,Argentina,Venezuela,1.0,0.0,2.0,0.0,3.0,0.0
63ELAaVK,2022-03-26,19:30,1:0,1:0,0:0,2.37,2.63,3.77,0.0,True,Egypt,Senegal ,1.0,0.0,0.0,0.0,1.0,0.0
pA1mPbpE,2022-03-26,19:30,0:0,0:0,0:0,2.85,2.67,2.94,1.0,True,Ghana,Nigeria ,0.0,0.0,0.0,0.0,0.0,0.0
